127.0.0.1 - - [20/Sep/2022:21:48:13 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:48:16 +0700] "GET /abcportal/ HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:48:17 +0700] "GET /abcportal/css/style.css HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:48:17 +0700] "GET /abcportal/css/bootstrap.min.css HTTP/1.1" 200 187481
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:48:17 +0700] "GET /abcportal/img/hero.png HTTP/1.1" 200 73547
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:48:17 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:49:58 +0700] "GET /abcportal/register HTTP/1.1" 200 4568
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:49:58 +0700] "GET /abcportal/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:49:58 +0700] "GET /abcportal/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:49:58 +0700] "GET /abcportal/script/registration.js HTTP/1.1" 200 2322
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:50:50 +0700] "POST /abcportal/registerProcess HTTP/1.1" 200 2454
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:50:50 +0700] "GET /abcportal/img/green-check.png HTTP/1.1" 200 30293
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:51:34 +0700] "GET /abcportal/ HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:51:34 +0700] "GET /abcportal/img/hero.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:51:35 +0700] "GET /abcportal/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:51:35 +0700] "GET /abcportal/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:51:37 +0700] "GET /abcportal/login HTTP/1.1" 200 3251
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:51:37 +0700] "GET /abcportal/script/login.js HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:51:43 +0700] "POST /abcportal/check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:51:44 +0700] "GET /abcportal/homepage HTTP/1.1" 200 4679
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:58:26 +0700] "GET /abcportal/profile HTTP/1.1" 200 4470
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:58:26 +0700] "GET /abcportal/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:58:26 +0700] "GET /abcportal/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:59:23 +0700] "GET /abcportal/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:59:23 +0700] "GET /abcportal/ HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:59:23 +0700] "GET /abcportal/img/hero.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:59:25 +0700] "GET /abcportal/login HTTP/1.1" 200 3251
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:59:25 +0700] "GET /abcportal/script/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:21:59:28 +0700] "GET /abcportal/forgotPassword HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [20/Sep/2022:22:00:31 +0700] "POST /abcportal/sendEmail HTTP/1.1" 200 1877
0:0:0:0:0:0:0:1 - - [20/Sep/2022:22:01:29 +0700] "POST /abcportal/check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:22:01:29 +0700] "GET /abcportal/homepage HTTP/1.1" 200 4679
0:0:0:0:0:0:0:1 - - [20/Sep/2022:22:01:29 +0700] "GET /abcportal/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2022:22:01:29 +0700] "GET /abcportal/css/style.css HTTP/1.1" 304 -
